City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,san fernando de apure,7.8878,-67.4724,33.19,39,91,4.77,VE,1706301784
140,desur,12.4333,79.4833,21.32,92,62,2.5,IN,1706301784
141,kishtwar,33.3167,75.7667,2.22,54,100,2.08,IN,1706301784
142,naifaru,5.4444,73.3657,27.62,71,81,7.01,MV,1706301785
143,changli,39.7042,119.1506,-5.56,77,14,2.08,CN,1706301785
144,nuuk,64.1835,-51.7216,-13.66,78,40,4.12,GL,1706301785
145,sinabang,2.4803,96.3801,26.51,84,97,1.3,ID,1706301785
146,coahuayana de hidalgo,18.7,-103.6583,31.41,43,0,3.12,MX,1706301786
147,port macquarie,-31.4333,152.9167,24.94,85,96,4.84,AU,1706301786
148,mantua,45.1667,10.7833,5.05,79,97,0.89,IT,1706301786
149,lofthouse,53.7295,-1.497,6.0,78,40,2.57,GB,1706301786
150,presidente medici,-11.1753,-61.9014,27.14,89,80,2.18,BR,1706301786
151,east ballina,-28.8667,153.5833,25.5,91,92,4.66,AU,1706301787
152,matoury,4.8483,-52.3317,28.98,70,75,4.63,GF,1706301787
153,keflavik,64.0049,-22.5624,-0.76,74,75,9.26,IS,1706301787
154,kayangel,8.0823,134.7173,27.13,81,100,11.39,PW,1706301787
155,nanakuli,21.3906,-158.1547,27.97,81,75,2.57,US,1706301788
156,nar'yan-mar,67.6713,53.087,-11.05,97,96,2.68,RU,1706301788
157,tokar,18.4254,37.729,21.43,60,100,4.03,SD,1706301788
158,shalkar,47.8288,59.6258,-15.76,85,65,1.94,KZ,1706301788
159,ko pha ngan,9.7578,100.0291,24.81,76,15,7.1,TH,1706301788
160,thompson,55.7435,-97.8558,-4.91,93,100,4.63,CA,1706301750
161,kruisfontein,-34.0033,24.7314,19.38,72,85,2.77,ZA,1706301789
162,utrik,11.2278,169.8474,25.42,59,70,2.88,MH,1706301789
163,kaeng khoi,14.5862,100.9976,25.57,60,67,2.44,TH,1706301789
164,lesneven,48.5723,-4.3213,7.1,81,0,2.57,FR,1706301783
165,glace bay,46.1969,-59.957,-2.13,77,100,3.6,CA,1706301790
166,vila franca do campo,37.7167,-25.4333,18.27,99,100,5.33,PT,1706301790
167,kidal,18.4411,1.4078,16.95,24,0,4.85,ML,1706301790
168,benghazi,32.1167,20.0667,15.79,69,0,6.3,LY,1706301790
169,port moresby,-9.4431,147.1797,24.68,94,75,5.14,PG,1706301539
170,yuzhno-kurilsk,44.0306,145.8556,-2.01,85,100,10.14,RU,1706301791
171,brisas de zicatela,15.8369,-97.0419,30.29,58,0,2.06,MX,1706301791
172,gharo,24.7424,67.5856,17.12,18,38,4.3,PK,1706301791
